F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
1 6 ; A É C I O      N E V E S ; A      g e n t e      e s c u t a      s e m p r e      a s      m e s m a s      p r o m e s s a s      o s      m e s m o s      c o m p r o m i s s o s      l a m e n t a v e l m e n t e      e s t ã o      n o      p o d e r      h á      d o z e      a n o s      e      n ã o      f i z e r a m      a q u i l o      q u e      d i z e m      q u e      v ã o      f a z e r . ; { ' n e g ' :      0 . 0 8 7 ,      ' n e u ' :      0 . 9 1 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 6 ; A É C I O      N E V E S ; S e      a s      s e i s      m i l      c r e c h e s      p r o m e t i d a s      h á      q u a t r o      a n o s      a t r á s      t i v e s s e m      c o n s t r u í d a s      m u i t o      p r o v a v e l m e n t e      o      s e u      f i l h o      o u      s e u      s o b r i n h o      o u      o      n e t o      d e      t a n t a s      p e s s o a s      q u e      e s t ã o      a q u i      n o s      o u v i n d o      e s t a r i a m      t e n d o      a      t r a n q u i l i d a d e      d e      o n d e      d e i x a r      s e u      f i l h o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 6 ; A É C I O      N E V E S ; N ó s      v a m o s      c u m p r i r      c o m      c a d a      u m      d o s      c o m p r o m i s s o s      q u e      n ó s      a s s u m i m o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 6 ; A É C I O      N E V E S ; I n f e l i z m e n t e      o      c a n d i d a t o      o f i c i a l      n ã o      a p r e s e n t o u      u m      p r o g r a m a      d e      g o v e r n o      p a r a      q u e      n ó s      p u d é s s e m o s      s a b e r      q u a i s      s ã o      a s      m e t a s      q u a i s      s ã o      a s      p r i o r i d a d e s      q u e      e l a      t e m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 6 ; A É C I O      N E V E S ; O      n o s s o      e s t á      a í      e      f a l a      e m      c o n s t r u ç ã o      d e      s e i s      m i l      c r e c h e s      f a l a      d a s      p r é - e s c o l a s      e      d a      q u a l i f i c a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 6 ; A É C I O      N E V E S ; I s s o      n o      f u n d a m e n t a l      e      e m      e s p e c i a l      n o      e n s i n o      m é d i o . ; { ' n e g ' :      0 . 4 2 3 ,      ' n e u ' :      0 . 5 7 7 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 2 6 7 }
1 6 ; A É C I O      N E V E S ; P o r t a n t o      e s t e j a      c e r t a      R e n a t a      s e      e u      t i v e r      o      p r i v i l é g i o      d e      g o v e r n a r      o      B r a s i l      d a q u i      a      q u a t r o      a n o s      v o c ê      v a i      t e r      u m a      n o v a      r e a l i d a d e      n a      q u a l i d a d e      d o      e n s i n o      p ú b l i c o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; M i n h a      q u e r i d a      c o n t e r r â n e a      e u      r e c o n h e ç o      q u e      v o c ê      h o j e      e x p r e s s a      o      s e n t i m e n t o      d e      m i l h õ e s      d e      b r a s i l e i r o s      q u e      n ã o      a g u e n t a m      m a i s      a b r i r      t o d o      d i a      o s      j o r n a i s      e      v e r      q u a l      é      o      c a s o      n o v o      d e      c o r r u p ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; E      q u a n d o      n ã o      h á      p u n i ç ã o      a      i n d i g n a ç ã o      é      a i n d a      m a i o r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; É      o      q u e      n ó s      e s t a m o s      a s s i s t i n d o      n o      B r a s i l      d e      h o j e . ; { ' n e g ' :      0 . 2 3 9 ,      ' n e u ' :      0 . 7 6 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 7 ; A É C I O      N E V E S ; E u      v e j o      a      c a n d i d a t a      D i l m a      a p r e s e n t a r      a q u i      u m      c o n j u n t o      d e      p r o p o s t a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; M u i t a s      d e l a s      e s t a v a m      e m      t r a m i t a ç ã o      n o      C o n g r e s s o      N a c i o n a l      d u r a n t e      t o d o s      e s s e s      ú l t i m o s      a n o s . ; { ' n e g ' :      0 . 1 5 5 ,      ' n e u ' :      0 . 8 4 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 7 ; A É C I O      N E V E S ; N ã o      h o u v e      q u a l q u e r      a ç ã o      d o      P T      o u      d o      g o v e r n o      d o      P T      p a r a      q u e      a l g u m a s      d e s s a s      p r o p o s t a s      p u d e s s e m      a v a n ç a r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; P o r      q u ê ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; P o r q u e      n ã o      h o u v e      p r e o c u p a ç ã o      d o      P T      n o      c o m b a t e      e f e t i v o      à      c o r r u p ç ã o . ; { ' n e g ' :      0 . 1 9 6 ,      ' n e u ' :      0 . 8 0 4 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 7 ; A É C I O      N E V E S ; E s s a      é      a      g r a n d e      r e a l i d a d e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; E u      v o u      l h e      d i z e r      a q u i      o l h a n d o      n o s      s e u s      o l h o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 7 ; A É C I O      N E V E S ; E x i s t e      u m a      m e d i d a      q u e      e s t á      a c i m a      d e      t o d a s      a s      o u t r a s      e      n ã o      d e p e n d e      d o      C o n g r e s s o      N a c i o n a l      p a r a      a c a b a r m o s      c o m      a      c o r r u p ç ã o      n o      B r a s i l . ; { ' n e g ' :      0 . 0 9 9 ,      ' n e u ' :      0 . 9 0 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 7 ; A É C I O      N E V E S ; V a m o s      t i r a r      o      P T      d o      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; C a r l a      e u      a g r a d e ç o      a      s u a      p e r g u n t a      e      e s s a      d e v e      s e r      u m a      p r e o c u p a ç ã o      d e      q u a l q u e r      g o v e r n a n t e      r e s p o n s á v e l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; O      B r a s i l      e n v e l h e c e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; O      B r a s i l      n ã o      t e m      h o j e      s e r v i ç o s      e      n e m      m e s m o      a      p r o t e ç ã o      n e c e s s á r i a      a o s      i d o s o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; O      I N S S      I n s t i t u t o      N a c i o n a l      d e      S e g u r i d a d e      S o c i a l      n o      n o s s o      g o v e r n o      n o s s o      p r o g r a m a      d e      g o v e r n o      q u e      n ó s      a p r e s e n t a m o s      a t é      e m      r e s p e i t o      e m      r e s p e i t o      a o s      e l e i t o r e s      a o s      c i d a d ã o s      u m      p r o g r a m a      d e      g o v e r n o      e l e      s e      t r a n s f o r m a      t a m b é m      e m      u m      i n s t i t u t o      d a      c i d a d a n i a . ; { ' n e g ' :      0 . 0 5 6 ,      ' n e u ' :      0 . 9 4 4 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 8 ; A É C I O      N E V E S ; O n d e      n ó s      v a m o s      c u i d a r      i n c l u s i v e      d e      c a s o s      p o r      e x e m p l o      d e      p e s s o a s      q u e      c o n t r i b u í r a m      d u r a n t e      u m      d e t e r m i n a d o      p e r í o d o      n a      s u a      v i d a      p a s s a r a m      a l g u n s      a n o s      s e m      c o n t r i b u i r      e      s ã o      d e s e s t i m u l a d a s      a      f a z ê - l o      p o r q u e      e l a s      n ã o      t ê m      c o m o      v o l t a r      a t r á s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; N ó s      v a m o s      c u i d a r      d e s s a s      p e s s o a s      e n c o n t r a r      f o r m a s      p a r a      q u e      e l a s      p o s s a m      s e      a p o s e n t a r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; E      e u      t o m e i      u m a      d e c i s ã o      C a r l a      e m      r e l a ç ã o      a      u m a      q u e s t ã o      q u e      a f e t a      e m      m u i t o      a      r e n d a      d o      a p o s e n t a d o      b r a s i l e i r o      q u e      é      o      f a t o r      p r e v i d e n c i á r i o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; E u      q u e r o      a q u i      f a l a n d o      a      v o c ê      a o s      p a r a n a e n s e s      m a s      a      t o d o s      o s      b r a s i l e i r o s      q u e      n ó s      v a m o s      r e v e r      o      f a t o r      p r e v i d e n c i á r i o      p a r a      q u e      e l e      n ã o      p u n a      c o m o      v e m      p u n i n d o      a      r e n d a      d o s      a p o s e n t a d o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 8 ; A É C I O      N E V E S ; P o r t a n t o      n ó s      c o n s t r u í m o s      a o      l o n g o      d e      t o d o s      e s s e s      m e s e s      e m      u m a      a m p l a      d i s c u s s ã o      c o m      c e n t r a i s      s i n d i c a i s      c o m      l i d e r a n ç a s      e x t r e m a m e n t e      i m p o r t a n t e s      r e p r e s e n t a t i v a s      d o s      a p o s e n t a d o s      b r a s i l e i r o s      p o l í t i c a s      q u e      v i s e m      g a r a n t i r      a      e l e s      u m a      r e m u n e r a ç ã o      m e l h o r      c o m o      p o r      e x e m p l o      i n c l u i n d o      a      c e s t a      d e      m e d i c a m e n t o s      n o      c á l c u l o      d e s s a s      a p o s e n t a d o r i a s . ; { ' n e g ' :      0 . 0 5 ,      ' n e u ' :      0 . 9 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 8 ; A É C I O      N E V E S ; M a s      o      c o m p r o m i s s o      d e f i n i t i v o      é      f a z e r      a      r e v i s ã o      d o      f a t o r      p r e v i d e n c i á r i o      p o i s      i s s o      d a r á      u m      a l í v i o      m u i t o      i m p o r t a n t e      a o s      a p o s e n t a d o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; O l h a      e u      c o n f e s s o      q u e      f i c o      f e l i z      c o m      a      e v o l u ç ã o      d a      p o s i ç ã o      d a      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; R e a l m e n t e      f o i      c r i a d o      o      f a t o r      p r e v i d e n c i á r i o      e m      u m      m o m e n t o      d e      a g u d a      c r i s e      d a      p r e v i d ê n c i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; E      d e p o i s      e l e      f o i      d e r r u b a d o      n o      C o n g r e s s o      N a c i o n a l . ; { ' n e g ' :      0 . 2 6 8 ,      ' n e u ' :      0 . 7 3 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 9 ; A É C I O      N E V E S ; E      q u e m      v e t o u      s u a      d e r r u b a d a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; O      p r e s i d e n t e      L u l a      o      g o v e r n o      d o      P T . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; F o i      d e r r u b a d o      p o r      u m a      p r o p o s t a      d o      d e p u t a d o      F e r n a n d o      C o r u j a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; O      q u e      e u      q u e r o      d i z e r      é      q u e      o s      n o s s o s      c o m p r o m i s s o s      e l e s      n ã o      m u d a m      à s      v é s p e r a s      d a s      e l e i ç õ e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; N ó s      v a m o s      c o n s t r u i r      u m a      r e d e      d e      p r o t e ç ã o      a o s      i d o s o s      h o j e      q u e      p a s s a      p e l o      f a t o r      p r e v i d e n c i á r i o      r e v i s t o      p o r t a n t o      p o r      u m      o u t r o      i n s t r u m e n t o      q u e      n ã o      p u n a      t a n t o      c o m o      v e m      p u n i n d o      o s      a p o s e n t a d o s      o      f a t o r      p r e v i d e n c i á r i o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; M a s      u m a      r e d e      d e      p r o t e ç ã o      q u e      p a s s a      p e l a      s a ú d e      c o m      a ç ã o      e s p e c í f i c a      a o s      i d o s o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; A s      c a s a s      d e      c u i d a d o      q u e      n e s s e      g o v e r n o      s ã o      m u i t o      p o u c a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 9 ; A É C I O      N E V E S ; N ó s      t e m o s      q u e      c r i a r      e      e s t i m u l a r      o s      p r o f i s s i o n a i s      q u e      c u i d a m      d o s      i d o s o s      p a r a      q u e      e l e s      t e n h a m      u m a      m e l h o r      r e m u n e r a ç ã o      e      m a i s      e s t í m u l o      a      d e d i c a r e m - s e      a      e s s a      c a r r e i r a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 0 ; A É C I O      N E V E S ; C a n d i d a t a      a      d i r e t o r a      d e      a s s i s t ê n c i a      s o c i a l      d o      s e u      g o v e r n o      c o n f i r m o u      e s s a      s e m a n a      n u m a      r e u n i ã o      c o m      p r e f e i t o s      e m      M i n a s      G e r a i s      q u e      o s      r e p a s s e s      d o      F u n d o      N a c i o n a l      d e      A s s i t ê n c i a      e s t ã o      a t r a s a d o s      e m      t r ê s      m e s e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 0 ; A É C I O      N E V E S ; E s s e      f u n d o      n a      v e r d a d e      e l e      a t e n d e      a o s      p r o g r a m a s      m a i s      f u n d a m e n t a i s      d o      s e u      g o v e r n o      p r o g r a m a s      d e      a s s i s t ê n c i a      d e      r e p a s s e      d e      r e c u r s o s      p a r a      e n t i d a d e s      q u e      p r e s t a m      a      p r i m e i r a      a t e n ç ã o      à s      p e s s o a s      q u e      m a i s      n e c e s s i t a m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 0 ; A É C I O      N E V E S ; E m      r e l a ç ã o      a o      o r ç a m e n t o      v o l t a d o      à s      p e s s o a s      p o r t a d o r a s      c o m      d e f i c i ê n c i a      q u e      é      o      t e r m o      a d e q u a d o      f o i      e x e c u t a d o      a p e n a s      1 1 %      d o      q u e      f o i      a p r o v a d o      a t é      a q u i . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 0 ; A É C I O      N E V E S ; O      q u e      v e m      a c o n t e c e n d o      c o m      s e u      g o v e r n o      c a n d i d a t a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; L a m e n t o      c a n d i d a t a      q u e      a      s e n h o r a      e s t e j a      t ã o      m a l      i n f o r m a d a      e m      r e l a ç ã o      a o      s e u      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; E s t ã o      s i m      a t r a s a d o s      o s      r e p a s s e s      a o s      m u n i c í p i o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; Q u e r o      m e      d i r i g i r      a o s      m u n í c i p i o s      b r a s i l e i r o s      a o s      p r e f e i t o s      q u e      s a b e m      e x a t a m e n t e      o      q u e      e s t o u      d i z e n d o      q u e      n o      n o s s o      g o v e r n o      i s s o      n ã o      v a i      a c o n t e c e r . ; { ' n e g ' :      0 . 0 9 5 ,      ' n e u ' :      0 . 9 0 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 1 ; A É C I O      N E V E S ; Q u e      a s      p e s s o a s      c o m      d e f i c i ê n c i a      t e r ã o      p r i o r i d a d e      n a      l i b e r a ç ã o      d o s      r e c u r s o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; 1 1 %      a p e n a s      e x e c u t a d o s      a t é      o      f i n a l      d o      m ê s      d e      o u t u b r o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; T e n h o      c o n v e r s a d o      m u i t o      c a n d i d a t a      c o m      p a r c e i r o s      e      a m i g o s      m e u s      q u e      s e      d e d i c a m      s u a      v i d a      a      e s s a      q u e s t ã o      M a r a      G a b r i l l i      O t á v i o      L e i t e      E d u a r d o      B a r b o s a      a g o r a      o      m e u      a m i g o      R o m á r i o ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; c u j o      a p o i o      a q u i      a g r a d e ç o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 1 ; A É C I O      N E V E S ; A s s u m i      c o m      e l e s      u m      c o m p r o m i s s o      n o      n o s s o      g o v e r n o      a s      A p a e s      s e r ã o      f o r t a l e c i d a s      d i f e r e n t e      d o      s e u      g o v e r n o      q u e      t e n t o u      e x t i n g u i - l a s . ; { ' n e g ' :      0 . 1 0 9 ,      ' n e u ' :      0 . 8 9 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 1 ; A É C I O      N E V E S ; E      e s s e s      r e p a s s e s      d a      g a r a n t i a      d a s      t r a n s f e r ê n c i a s      n e s s e s      r e c u r s o s      s e r á      p r i o r i d a d e      a b s o l u t a      n o      m e u      g o v e r n o . ; { ' n e g ' :      0 . 1 4 5 ,      ' n e u ' :      0 . 8 5 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 1 ; A É C I O      N E V E S ; P o d e      f a l t a r      p a r a      o u t r a s      c o i s a s      p a r a      e s s a      n ã o      f a l t a r á . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; C e r t a m e n t e      q u e      h o u v e      c a n d i d a t a      e      s e g u n d o      o      T C U      n o      s e u      g o v e r n o      p o r q u e      o      T r i b u n a l      d e      C o n t a s      d a      U n i ã o      a c i o n a      ó r g ã o s      d o      s e u      g o v e r n o . ; { ' n e g ' :      0 . 1 0 4 ,      ' n e u ' :      0 . 8 9 6 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 2 ; A É C I O      N E V E S ; O      q u e      n ó s      e s t a m o s      t e n d o      c a n d i d a t a      n ã o      é      a p e n a s      e m      S ã o      P a u l o ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; e s t a m o s      t e n d o      e m      t o d a      r e g i ã o ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; S u d e s t e      a u s ê n c i a      d e      á g u a      e      a      s e n h o r a      s a b e      m u i t o      b e m      q u e      n ó s      t i v e m o s      a      m a i o r      c r i s e      h í d r i c a      d o s      ú l t i m o s      8 0      a n o s      f a l t a      d e      c h u v a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; O      g o v e r n o      d e      S ã o      P a u l o      d i f e r e n t e      d o      g o v e r n o      f e d e r a l      b u s c o u      f a z e r      o      q u e      e s t a v a      e m      s u a s      m ã o s      e      o      e l e i t o r a d o      d e      S ã o      P a u l o      d e c i d i u      q u e m      e s t a v a      c o m      a      r a z ã o      q u e m      r e a l m e n t e      f a l a v a      c o m      s i n c e r i d a d e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; O      s e u      c a n d i d a t o      a q u i      e m      S ã o      P a u l o      c a n d i d a t a      f e z      c a m p a n h a      d e m o n i z a n d o      a      a ç ã o      d o      g o v e r n o      e s t a d u a l      o n d e      o      g o v e r n a d o r      G e r a l d o      A l c k m i n      f o i      e l e i t o      e      p r o p ô s      i n i c i a t i v a s      c o m o      u m      b ô n u s      p a r a      a q u e l e s      q u e      e c o n o m i z a s s e m      á g u a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; C e r c a      d e      8 0 %      d o s      p a u l i s t a s      a d e r i r a m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; I n f e l i z m e n t e      n ã o      t i v e m o s      a      p a r c e r i a      d a      A n a      p o r      q u e      s e r á      q u e      a      A g ê n c i a      N a c i o n a l      d e      Á g u a      n ã o      e s t a v a      a q u i      p l a n e j a n d o ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; S e r á      p o r q u e      p o r      i n d i c a ç õ e s      d a      s e n h o r a      R o s i m e r e      l e v a r a m      o s      d i r e t o r e s      d a      A n a      a o      p r e s í d i o      a o      i n v é s      d e      t r a z ê - l o      a      S ã o      P a u l o      p a r a      p l a n e j a r      c o m      o      g o v e r n a d o r      d e      S ã o      P a u l o ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; C a n d i d a t a      e s s e      a p a r e l h a m e n t o      d a      m á q u i n a      p ú b l i c a      é      a      f a c e      m a i s      p e r v e r s a      d o      s e u      g o v e r n o      e      d o      g o v e r n o      a n t e r i o r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; O s      t é c n i c o s      f o r a m      s u b s t i t u í d o s      p o r      a p a d r i n h a d o s      p o l í t i c o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 2 ; A É C I O      N E V E S ; A      A g ê n c i a      N a c i o n a l      d e      Á g u a      e      p o s s o      c i t a r      o u t r a s      n a      s e q u ê n c i a      s e      a      s e n h o r a      q u i s e r      n ã o      f o r a m      a l i      c o l o c a d a s      p e s s o a s      p e l a      s u a      q u a l i f i c a ç ã o      m a s      p o r      s u a      i n d i c a ç ã o      f a l t o u      p a r c e r i a      d o      g o v e r n o      f e d e r a l      n e s s a      q u e s t ã o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
